epoch,acc,loss,val_acc,val_loss
1,0.09946,2.3026791181945803,0.1,2.3025895431518553
2,0.09832,2.3026410203552246,0.1,2.302586534118652
3,0.09754,2.302649359664917,0.1,2.302585789489746
4,0.09616,2.302635759048462,0.1,2.3025868118286135
5,0.09672,2.3026405564880372,0.1,2.3025864349365235
6,0.09956,2.3026477882385255,0.1,2.3025864028930663
7,0.09848,2.3026310076904295,0.1,2.3025866485595703
8,0.0973,2.302652942047119,0.1,2.302586156463623
9,0.09764,2.3026389683532713,0.1,2.3025856941223144
0,0.09974,2.3026778591918946,0.1,2.3026299240112307
1,0.09544,2.302696470413208,0.1,2.3025989543914793
2,0.09744,2.302701250228882,0.1,2.3025870849609373
3,0.09806,2.302662845611572,0.1,2.3025866470336913
4,0.09794,2.302671169433594,0.1,2.302586376953125
5,0.10038,2.30263287399292,0.1,2.3025877208709717
6,0.09804,2.302651954727173,0.1,2.3025885681152345
7,0.09836,2.302646717071533,0.1,2.302586388397217
8,0.09742,2.3026807862854004,0.1,2.302586127471924
9,0.09846,2.302639902038574,0.1,2.3025860858917238
0,0.0977,2.302705394592285,0.1,2.3025874042510988
1,0.09564,2.3026685234069824,0.1,2.3025868309021
2,0.09538,2.302662631378174,0.1,2.302585747528076
3,0.0996,2.302625358200073,0.1,2.3025863349914553
4,0.09866,2.302654859161377,0.1,2.3025859539031983
5,0.099,2.3026267224884034,0.1,2.302586360168457
6,0.09976,2.3026381353759766,0.1,2.3025864974975585
7,0.09878,2.3026312470245363,0.1,2.3025868385314943
8,0.09702,2.302638744277954,0.1,2.302585771560669
9,0.09796,2.302645412979126,0.1,2.302586120605469
0,0.22186,2.083519578475952,0.3154,1.881078038406372
1,0.30634,1.8798967247772216,0.366,1.751001545715332
2,0.35108,1.765296813430786,0.4001,1.633063423538208
3,0.3728,1.6978257646942139,0.4267,1.5655983057022094
4,0.39052,1.653156199798584,0.4445,1.5220611099243164
5,0.40294,1.619098391494751,0.4679,1.478627260017395
6,0.42048,1.5839310884857178,0.4788,1.4463699142456055
7,0.43146,1.555522512435913,0.4924,1.4076490423202515
